text,label,source,dialect,prediction,label_name,pred_name
ممكن امص الحلمه,0,AbusiveAccounts,Unknown,1,Safe,Toxic
گرم،م زيادهہ،هہ شوف هاي مش شغل انك اطقصها او كر عليها هاي خذها لا صالحك,1,NUHA,Unknown,0,Toxic,Safe
سواقه وسقتو، ملاعب وحضرتو، سينما وجاتكم، قانون تحرش قوي قانون يجرم الضرب وش تبون فوق ذا كله احترام المراءه كيان وروح واقدر رغباتهم لكن بعض البنات ماينعطون وجه بزياده والانثي دايما تختلف عن الرجل ولها حدود حتا في حريتها سعوديات نطلب اسقاط الولايه,0,FemaleSportHate,Unknown,1,Safe,Toxic
الله يرحم اموات الاردن والمسلمين اما المواطن جاهل او الحكومة اجهل,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
غالياني تصاريحه تجيب المرض,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
يخلف على المكياج,0,NUHA,Unknown,1,Safe,Toxic
هسة جد كيف بتحس حالك زلمة بس تتطلع من البيت تقعد تشكي للناس عن امكو ابوك؟ ياخي جد هدول ما بستحوع دمهد؟,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
قال وزير التجارة الفرنسي الماركات اكبر كذبة اخترعها الاذكياء لسرقة اموال الاغنياء فوقع فيها الفقراء,1,Arabic_Superset,Multi-dialect,0,Toxic,Safe
انا زنجي واعجبك اجي عندك البيت اووريك,0,AraTox,Unknown,1,Safe,Toxic
كل واحد يلتهى بهمو وحكاية الصحرا والبوليزاريو هاذي موش الشعب لي راه يتحكم فيها ومناش لاهيين بيها ادوها بيعوها احرقوها ربي يسهل,1,Algerian_Offensive,Unknown,0,Toxic,Safe
ماتكلمت علي اختي ريمي شهد الكلام موجه لدوله قطر المجنسين وبس,0,SaudiCodeMixing,Unknown,1,Safe,Toxic
عطه عسكريم وخله يتسمر يشاهد العربيه والجزيره يغسلون دماغه بصابونه زت,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,Toxic,Safe
هل اسلوب وتصرفات لجين الهذلول تدعوا الي شرع اله او مخالفتها,0,SaudiCodeMixing,Unknown,1,Safe,Toxic
الحين انا كنت قايل لك اني اتكلم عن نفسي مصر تتميلح,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
الشهيد صدام حسين ظالم وطاغيه لانه بنى مجد وقوة وترسانه نوويه وعلماء للعراق ولم يعترف بالصهاينه او لانه كان صد منيع لاطماع ايران يا ابواقها,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
المساعدات تقدم لفلسطين اما المغاربه اولاد الوطن لا شوف غير حدا نيفك ونتا غادي لبلدان الناس وجه غاضب وجه غاضب,0,Moroccan_Darija_v2,Moroccan,1,Safe,Toxic
ظهور الجداد الالكتروني بحسابات جديدة بكثرة صور الجيش بالميمز المضحكةو النكاتو تخوين كل الثورجية يا اخواني يا كافر يا شيوعيو جر الجميع في اتجاة المحادثات التي لا تنتهي هشتاقات لتوجيةو اقناع الراي العام لدعم الجيشو تشويه صورة المهنيين مدعومة بالاعلامو حسابات مشهورة,0,OSACT4|OffensEval2020_AR,MSA + mixed dialects|MSA/Mixed,1,Safe,Toxic
حفيدة الطاغية فرعون ايش تتوقعو منها؟ هه,0,ArabicOffensive_Taxonomy,Unknown,1,Safe,Toxic
يا رجل كل دول العالم تحارب السنة وتبرمج محاربيها برمجة عقدية وتجيش الشيعة ضد السنة وجاي تقلي المعتقدات الدينية لا يصح ان يحاسب المرء عليها طيب نحاربهم بقصيدة لمجنون ليلى مثلا؟ ام نحاربهم بمنسف رز؟؟,0,ArabicOffensive_Taxonomy,Unknown,1,Safe,Toxic
الله ستر ما كنتي مسلحه او معك قنابل,0,NUHA,Unknown,1,Safe,Toxic
روح يا عباس ما تلاقي ترامادول في السوق يا بعيد زى ما غليته على الشباب الغلبان انت وسيسي كوله,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
هه صدقتوها الغباء الكذب بام عينه حابة دير البوز,0,Arabic_Superset|MultiDialect_NabilBadri|T-HSAB,Multi-dialect|Tunisian|Unknown,1,Safe,Toxic
اعتقد الواجب مقاطعة برامجها والقناة ايضا اخطاء متكررة,0,NUHA,Unknown,1,Safe,Toxic
المذيع هو اللي بيخ الموقف كان ممكن يجاملها مثل ما عملت المزيعه بس لانه الحكي اجى عالوجع شكله اخضر ويابسو,0,NUHA,Unknown,1,Safe,Toxic
شفاء الصدور معاذ الكساسبهي حبي لدولتنا من طيبها حتى المرتدين اذا بردانين تدفيهم يارب احفظ دولة الخلافة,1,Fraiwan,Unknown,0,Toxic,Safe
على حسب سرعة تقدم الدشاديش اتوقع بانه في حال سباق بينهم وبين حلزون سوف يصل قبلهم الرمادي مع العلم الحلزون غير مسلح,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,Toxic,Safe
طارق الهاشمي واتباعه وبعدها حكمه نور المالكي النتن بالاعدام كلهم من ظهر الدبابة الامريكية الى اذناب ايران وما خرجوا الا بريحة كريهة,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
معلومات وصلتنا من الشباب المرابطة بالقريا طالبين فزعة كلاب العودة صارو غرب القريا بكيلو ونص ومعن تركس وعبينصبو متارس جديدة بمنطقة اسما الجاموسية وناصبين هاون عند المدجنة الفزعة يا نشامة وياريت الكل ينسق مع شباب القريا والعمليات والمختصين الفزعة يا غانمين من صغحاتهم,1,ArCybC,Unknown,0,Toxic,Safe
نعم يا روح امك لا دا حي حررها رقصك البلدي على الوحدة والنص,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,Toxic,Safe
يا ويلي يمه من الحب شو بعزب شو بذل,1,Arabic_Superset,Multi-dialect,0,Toxic,Safe
اللهم سلط على عباس من يغتاله,0,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,1,Safe,Toxic
لو انهم تخابروا مع اسراييل او خنازير الخمارات دولة ال منشار لتمت ترقيتهم,0,ArabicOffensive_Taxonomy|Arabic_Superset|MLMA|MultiDialect_NabilBadri,Multi-dialect|Unknown,1,Safe,Toxic
لعنة الله عليه وعلى من دعمه وناصره وايده,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
الورع تكبر,0,ArabicCyberbullying,Unknown,1,Safe,Toxic
والله ياريت اصلا النفسيه بالسالب راهي قاعده ونبي واحد نفش غلي معاه,1,Arabic_Superset,Multi-dialect,0,Toxic,Safe
الان صرت تتكلم بادب واحترام من سمعت بتحرير ارضك بالقوة الله يهدي افكاركم وعقليتكم الطايفية وحقدكم على الشيعة وتكفيرهم,0,Arabic_Superset|arHateDataset,Multi-dialect,1,Safe,Toxic
للجزيرة او لكاتب هذا المقال سفاهةاحلام,0,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,1,Safe,Toxic
صدت بعقول الماخاذلين العملاء الرافضين للحرية وفي يد الثوار وقلوبهم لم ما زالت,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
شقيف الكواسر الدنيا راحت في شربة ماء,0,NUHA,Unknown,1,Safe,Toxic
انتوا اسكندرانية يعني فلاحين,0,AraTox,Unknown,1,Safe,Toxic
كسم الكاميرون ارضاو شعبا,1,Egyptian_HateSpeech,Unknown,0,Toxic,Safe
ينطبق عليك المثل العربي انت معهم معهم وعليهم عليهم اي انسان متذبذب ومتناقظ للحقايق ونرجو من الجزيره ان تنشر,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,Toxic,Safe
بغض النظر عن ما قال والاساءة للمراة فهنالك من قال وهو خير البشرية رسول الله صلى الله عليه وسلم لا يفلح قوم ولو امرهم لامراة اي منصب في الدولة لا يحتاج النساء للانهن ذات قلب طيب والمناصب تحتاج الرجال لانهم ذو شدة وقوة,0,Algerian_Offensive,Unknown,1,Safe,Toxic
الصحافه المغربيه مرحاض عمومي,0,Moroccan_Darija_v2,Moroccan,1,Safe,Toxic
ولا يعني كيف بدها اجيب المسبي الها ولبوها,1,NUHA,Unknown,0,Toxic,Safe
وارى ان خطاب الدولة للمسلمين الاكراد لحد الان ليس بالمستوى المطلوب وبقدر حجم التضليل الذي يمارس عليهم من قبل العلمانيين والمرجية,0,Fraiwan,Unknown,1,Safe,Toxic
محمد المعايطه انت وسخ واوسخ منك صقر الذنيبات,0,NUHA,Unknown,1,Safe,Toxic
يبقى الزعيم جلاد الانديه مهما خسر يابو وليد,1,AntiFanatic,Unknown,0,Toxic,Safe
لاتهمل قلب احبك، اجعلہ مزدهر بقربگ,1,Arabic_Superset,Multi-dialect,0,Toxic,Safe
وين السستاني الكلب ومقتدى النغل من خره بشيب ابهاتهم وكل معمم قذر هسه الشيعة هم يصلون يتبعون هذولة الكواويد,0,ArabicOffensive_Taxonomy,Unknown,1,Safe,Toxic
مادري شالمقصد من وضع الكلاسيكو على دايما حركة قذرة من القناة الاقذر هالحركات,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
حقوق المراة محفوظه ابن الحلال بالدين الاسلامي الصحيح دينجية الوقت رجعوا المراة لعصر الجاهليه وخلوها عبده للمجتمع الي خلقوا حررها الاسلام قبل اكثر سنه,0,ArMIS,MSA + dialects,1,Safe,Toxic
كلاب الفرس بني هاشم عرب وليس فرسي قذر,0,ArabicOffensive_Taxonomy,Unknown,1,Safe,Toxic
حصيله الفطور بالغلط حتي الان جغمه ماا قبل اذان المغرب بساعه حبه كورن فلكس مغمسه بعسل,1,SaudiCodeMixing,Unknown,0,Toxic,Safe
شوف اشلون راح يكون شكل البنت البدويه المنقبه لو في حريه,1,AbusiveAccounts,Unknown,0,Toxic,Safe
صاحب الاحصايية سمين ويبي يرقعها واضحه,0,AraTox,Unknown,1,Safe,Toxic
لو يبدي الهلال مجرد رغبه ولو بسيطه بالتعاقد مع اللاعب لارتفع المبلغ الى ضعف هذا الرقم مسكين يا عكاش,1,Arabic_Superset,Multi-dialect,0,Toxic,Safe
يجيبونك بالاصبع الوسطى يا شيخ الشيوخ,0,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,1,Safe,Toxic
زي الخفاش منظرها,0,NUHA,Unknown,1,Safe,Toxic
مقاتل وقاتل بقوات النخبه يتفاخر بقتل العشرات من الفلسطينيين الى رييس وزراء دولة الكيان هدفه الاردن كدولة للفلسطينين انتظروا الحرب على الابواب بقدوم نفنتالي,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
شخصية بتخزي وبتعر وما بتستحق الاحترام,0,NUHA,Unknown,1,Safe,Toxic
الله يعينك يا قمر كم وحدة شبه القردة تشبهت فيك,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
الصرع قليل عليكي,0,NUHA,Unknown,1,Safe,Toxic
هنا ياتي الرجل العنكبوت غلافات موضوع رجل العنكبوت يوما، لعنة مجيدة رجل العنكبوت تغطي اغنية موضوع البرنامج التلفزيوني لان العنكبوت لديه ارجل، واذا كنت تاخذ بعيدا عن تحصل على هنا هو اليوم انا متاكد من ان في تذبذب له الرسوم المتحركة، الرجل العنكبوت جاء عبر حصته من الكبيرة، والاسود، قنابل على شكل كرة البولينج مع فيوز كبيرة الفقاعة على القمة لذلك رجل العنكبوت الاعلان المزحة اغنية موضوع ليس الكثير من تمتد انها ليست غلاف، في حد ذاته، ولكن حصلت على ضربة من ذلك مرة اخرى، سوف اظهر نفسي الباب,1,PolyGuardMix,Unknown,0,Toxic,Safe
المثقف ما بسيي لطفله، وما بسيي لغزه، ومش كل حكيه عن الشب شو بحب والبنت شو بتكره,1,NUHA,Unknown,0,Toxic,Safe
الله يوقعك بلسان الاردنيه ساعتها رح تشوفي الابداع,1,NUHA,Unknown,0,Toxic,Safe
فعلا المعلمات شغل جعير,0,NUHA,Unknown,1,Safe,Toxic
هادا الشيخ حكيت معاه وانا محتاجه لاهل الخير وبس عرف اني سوريه حطلي حضر,1,Arabic_Superset,Multi-dialect,0,Toxic,Safe
طبعا وضعكم مثل وضع ابو يمن الذي يعيش علي فتات الازمات فاتفاق السعوديه وسوريا يعني رجوعك لفقر ودك,0,SaudiCodeMixing,Unknown,1,Safe,Toxic
ابرياء عمل غنايي فلسطيني حطم جدار الصمت اشهر الحقيقة ابريااء,1,Arabic_Superset,Multi-dialect,0,Toxic,Safe
بعرف شو يعني عشاير وما حكيت اشي عن العشاير وبعرف دورهم في البلد، واسامه لا يمثل الا نفسه وفيه قليله من اتباعه ما منقدر نتبع انسان عنده فكر ارهابي ودموي وداير في السلاح وبحكي اقتل واذبح وطخ كلنا عارفين وضع الاردن شو هوه وغير هيك اتطلعواع البلاد الي حوالي الاردن وين صارو,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
لو عنده كرامة طمر حاله بالتراب مجرم,0,Arabic_Superset|AwaneArabizi|L-HSAB|MultiDialect_NabilBadri|TextDetox|arHateDataset,Levantine|Multi-dialect|Unknown,1,Safe,Toxic
مبروك علينا يا امير هكدا العصابة تحكملك من الي خلا الختان,1,DziriOFN,Unknown,0,Toxic,Safe
مستفزز مره لدرجه نفسي انحرك,0,ArabicDangerous,Unknown,1,Safe,Toxic
لا يقيمون وزنا لا لعالم ولا لامام ولا لصحابي حتى ان كبيرهم السيء قطب طعن بسيدنا معاوية لحوم علماءهم مسمومة وعلماءنا عملاء خونه,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
لاحول ولا قوه عندها مرض نفسي خاصها طبيب نفسي,0,Moroccan_Darija_v2,Moroccan,1,Safe,Toxic
حنا السلطية تشهد لنا الفناجيل نسهر لها ما حنا مكببرين المخدة حنا السلطية عند المرجلة فزعة رجاجيل حنا على الميدان سيل لا طم لا تهدا,1,Arabic_Superset,Multi-dialect,0,Toxic,Safe
والله مشكله تكون هامل وغبي بوقت واحد,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
انا مش عارف بتقعدو شهر تسمعو اغاني برمضان بتقلبو مطوعين اذا واحد شغل مقطع بتعدمو بل حمام,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
واحد كاتب لايجوز للمراة تربية اي حيوان في بيتها يكفيها زوجها قتلني الحيوان,0,AbusiveAccounts,Unknown,1,Safe,Toxic
صح صغير وعندة كورة حلوة وبيذيد كويس لقدام غير الكابتن الكبير بتاعنا عاشورنا الي اخرة يرجع لورا وكفاا,1,AntiFanatic,Unknown,0,Toxic,Safe
كمان سوي رتويت عشان نتفاهم,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
النا احنا كناس بالظاهر وهاي مبين الظاهر تبعهم لا بلتزمو بشريعه ولا بدين وواضح هل اشي فهاي مش محتاجه ذمه واسعه او لا لانه المكتوب مبين من عنوانه,1,NUHA,Unknown,0,Toxic,Safe
هاظ يعتبر انتحار كلو متر لو نطيت طحونتي المسوسة بصيرش فيها اشي,1,NUHA,Unknown,0,Toxic,Safe
ا سطوب بوضي شيمن دي حرفيا الجديدة اسطوب فكن فلسفة اند كوبيينقي سمينةي بقرة,1,AraTox,Unknown,0,Toxic,Safe
مايرفع ضغطي الا الرجال المعرس ابو عيال اللي حاط اذنه عند الحريم،و اي طقعه تصير بينهو بين حرمته وصلها لامهو اهله,1,ArabicOffensive_Taxonomy|Arabic_Superset|MLMA|MultiDialect_NabilBadri|arHateDataset,Multi-dialect|Unknown,0,Toxic,Safe
مستخدم يعيش حزب الله حالة تخبط غير مسبوقة، على وقع احتجاجات في كل لبنان، لا سيما في البيية الحاضنة والتي لم تشه,1,ArMI,Levantine/Mixed,0,Toxic,Safe
والله السوء الذي تتحدث عنه هو كلامك وفكرك ونهجك لماذا هذا التحقير والشتم لشعوب بلاد الشام اذا كان هناك اشخاص سيين هذا لا يعمم على الاردنيين وغيرهم لولا هذه الشعوب لما كنت في امان,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
الحمار بس تقله حاا بيفهم هدون بتقلهن حاا بتلاقي حالك ما عارف من وين جاييك الضرب وبالاخر قاعد بباص اخضر وطالع عادلب,0,Arabic_Superset|AwaneArabizi|L-HSAB|MultiDialect_NabilBadri|arHateDataset,Levantine|Multi-dialect|Unknown,1,Safe,Toxic
نعتذر لك فعليا الجهات المعنيه مهتمه بقضايا اخري سخيفه زي رهف وشبيهاتها الي انحاشوا برا البلد وهم مدلعين اخر,0,SaudiCodeMixing,Unknown,1,Safe,Toxic
لانهم اخونجيه وسيتم اجتثاثهم,0,Arabic_Superset|arHateDataset,Multi-dialect,1,Safe,Toxic
نقول لامريكا وروسيا وايران قوله تعالى سيهزم الجمع ويوولون الدبر,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,Toxic,Safe
احنا نطالب بحقوق النساء لان القانون ياخذ حقهم لحد الان الي قتلو زوجاتهم اخواتهم تحاسبو انعدمو عايشين حياة طبيعية مطالبنا تحقيق العدالة مثلما اعتقلو الام يعتقلون الي قتل زوجته اخته يعدموهم ليش المراة بالعراق دمها رخيص,0,ArMIS,MSA + dialects,1,Safe,Toxic
مايك فغالي العيسى رجعوها تمثل وتتسلى احسن ماتبلش بهالقصص,1,NUHA,Unknown,0,Toxic,Safe
اول مره اشوف وزير خارجيه امريكا منحول مره نايحه مستاجره ومره رادوود ومره من اتباع المرسي ابو العباس ينشد لولايا جيبوتي مدد ياسيدنا حي حي حي,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,Toxic,Safe
ما احقرك يا ديما ديعان ما كنت دافع عنك,0,Arabic_Superset|Let-Mi,Levantine|Multi-dialect,1,Safe,Toxic
وجهها تقول ديد عنز,0,NUHA,Unknown,1,Safe,Toxic
الهلام اختفى لان النصر ظهر وبان ولو يرجع فارس نجد لمستواه فريقك ما يصبح له طاري,1,AntiFanatic,Unknown,0,Toxic,Safe
حسستيني انه دلو زبالة,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
اذبحكم درر,0,ArabicDangerous,Unknown,1,Safe,Toxic
اقول لجريدة الراي شمس حريتنا وانتصارنا لن يحجبها غربال كذبكم وخنوعكم وعمالتكم,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
رفيف الكلبةو عمران الاكلب,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
انت مجرم كبير جزار ديال الكرنة,0,MAOffens,Unknown,1,Safe,Toxic
اقسم بالله العظيم ان كاظم الساهر احسن منكم كلكم يلي تحكون على كاظم، ويع يغرون من نجح الفنان الكبير كاظم الساهر,0,ArabicOffensive_Taxonomy,Unknown,1,Safe,Toxic
لما بيامر وطنا امره على الرس والعين دق الرمح بعود الزين,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,Toxic,Safe
الموضوعات اللي لحقت عليها كالتالي التطبيع مع الكيان الصهيوني، حكم الردة، الموقف من امريكا,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
الرد على رسالة محمد العريفي الدولة الاسلامية عبر,1,Fraiwan,Unknown,0,Toxic,Safe
الكل اجر بالفلسطينيه وما حدا يشرف حاله ويا ريت تختصرو هل حكي السخيف العنصرى اما ولدنه,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
صح يا اقرع,0,AraTox,Unknown,1,Safe,Toxic
وش مخىثة الجيران هذي داقين على ابوي بناتك بالليل طالعين,1,HateDay,Multi-dialect,0,Toxic,Safe
احسن شي هالايام تدخل مصعد مترووس ناس وتعطس فيه وتقول الله يلعن الساعة اللي رحت فيها الصين هه,0,Arabic_Superset|arHateDataset,Multi-dialect,1,Safe,Toxic
طالعة تنتحر عاخر طرز,0,NUHA,Unknown,1,Safe,Toxic
افتتاح كنيسه في الرياض فجزيرة العرب حرم الاسلام،وقاعدته التي لا يجوزالسماح اوالاذن لكافرباختراقها،ولا التجنس بجنسيتها،ولاالتملك فيها،فضلا عن اقامة كنيسة فيها لعباد الصليب،فلا يجتمع فيها دينان،الا دينا واحدا هو دين الاسلام ولا يكون فيها قبلتان،الا قبلة المسلمين اللجنه الدايمة,1,Arabic_Superset|arHateDataset,Multi-dialect,0,Toxic,Safe
الكلب هاد بدو يعترف بيهودية اسراييل هه الله يوخدو,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
غيرو المكاتب والسيارات والحراسات شكلهم غالين على معاليه بيحبهم,1,NUHA,Unknown,0,Toxic,Safe
عضو الكونغرس الامريكي فرينش هيل مخدرات نظام بشار الاسد وصلت الى اوروبا وهي مسالة وقت لتصل الى شواطي امريكا ويطلق على بشار لاسد لقب ملك المخدرات,0,HateDay,Multi-dialect,1,Safe,Toxic
خسيتو يا اعلام ساقط هند اشرف منكو كلكو,0,NUHA,Unknown,1,Safe,Toxic
تتحارب امريكا وايران وسياتي الضرب على راس قطر,0,ArabicOffensive_Taxonomy|MPOLD,Multi-dialect|Unknown,1,Safe,Toxic
صح الحب اعمي بصح اختي حبك اعمي واطرش واقيلا ساحرلك انا كي كنتي تهدري علي الحب تخيالتو,0,Moroccan_Darija_v2,Moroccan,1,Safe,Toxic
رغم الاهانة وصل الرز شكرا لقطر على عزة النفس,1,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,0,Toxic,Safe
ربي صادفنيب صباح اللامي الا اضرب النعال على حلكه,1,ArabicOffensive_Taxonomy,Unknown,0,Toxic,Safe
كيفك يا واطي من قلب صادق احسن من بحبك بالنفاقو الكذب,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
الحق على الي مشى معها استقبلها,0,NUHA,Unknown,1,Safe,Toxic
مادام هيك الوضع ياريت بيريز يبيع كاسياس واربيلو,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
ليبيا ليست كعكه دبلوماسيه ولا اقتصاديه لبرلين,0,Moroccan_Darija_v2,Moroccan,1,Safe,Toxic
طز عليكم,0,NUHA,Unknown,1,Safe,Toxic
ليش عاملين للصورة قص بدنا نتاكد انها موثره ولا لا,1,NUHA,Unknown,0,Toxic,Safe
دول الخليج تبذل الغالي والنفيس لدعم باقي العرب ثم لا يجدون الا النكران والجحود والسب والشتم على كل الفضاييات,0,AwaneArabizi|Mubarak_AlJazeera,MSA/Mixed|Unknown,1,Safe,Toxic
وخرايط جوجل من توصلك يا يضحك,0,SaudiCodeMixing,Unknown,1,Safe,Toxic
طيب والله اللي رفض مقابلتها عنده اخلاق وخجل كل الاحترام,1,NUHA,Unknown,0,Toxic,Safe
مت بغيظك اكيد لم تحصل على فيزا عمل عندهم,0,ArabicOffensive_Taxonomy,Unknown,1,Safe,Toxic
ام عبد الله الزعيم الظاهر انت شبهها بهالمنظر,1,NUHA,Unknown,0,Toxic,Safe
يمه يخوف اليوم الذكور متفقين عليا ولا ايش فوق العشره ابلكهم اليوم رعب,1,HateDay,Multi-dialect,0,Toxic,Safe
كتير مكانك غلط ان تكوني اعلامية وتستخدمي كلمات هابطة لا تليق الا بمستوى ناطقها كلمة زريبه هي مكان مناسب لشخص متلك لا يقدر معاناة شعب باكمله,0,NUHA,Unknown,1,Safe,Toxic
والله انه وصخ ينغف بعدين ياكل بنفس اليد,0,ArabicCyberbullying,Unknown,1,Safe,Toxic
فضحت البنت عشان واحد باعها ورماها بالزباله برافوا عليه رجعها لقدرها استغفر اللهي ربي,1,ArabicOffensive_Taxonomy,Unknown,0,Toxic,Safe
يا شباب الموضوع تكرر وبدات الفتياة بكشفن المخفي ضمن العايلة الواحدة سابقا نتيجة الاغلاق وعدم التطور وعدم وجود الانترنت والهواتف كانت امور العنف الاسري والتحرش والذل مخفية شاهدنا حوادث سابقة في المغرب تونس الامارات والسعودية والاردن اصبح في جراة بالافصاح نتيجة التواصل مع الجمعيات المختصة,1,NUHA,Unknown,0,Toxic,Safe
يتيم المجد يدفع لكم ملياردولار واخرتها تحطون صورته وتكتبون تميم العنز مالكم حل اخذتم الفل,0,Arabic_Superset|AwaneArabizi|L-HSAB|MultiDialect_NabilBadri|TextDetox|arHateDataset,Levantine|Multi-dialect|Unknown,1,Safe,Toxic
هوف سواقة حريم وسواقة رجالة,0,ArabicOffensive_Taxonomy|Arabic_Superset|MLMA|MultiDialect_NabilBadri,Multi-dialect|Unknown,1,Safe,Toxic
ورود مصر الله لا يجبر السيسي واللي معاه,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
ولله يا جعفر طلعتي مو قليله المصدر مخابز الاندلس,1,NUHA,Unknown,0,Toxic,Safe
شويه كورة شويه طقطقه ثم امرر اهدافي الخفيه,1,AntiFanatic,Unknown,0,Toxic,Safe
وماله بيت اهلها للبنت يعني؟ ما ضل بيوت؟ بيطلبها بالسوق قاعد؟ ما ضل حيا ولا ادب ولا عرف ولا اخلاق اشي بيخزي,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
ايران الصهاينة امريكا روسيا داعش كل من يومن بغير ذلك,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
انصار الخلافة في بلاد الحرمين,1,Fraiwan,Unknown,0,Toxic,Safe
كربلاء مدينه مقدسه البصره لا فهمت يا,0,SaudiCodeMixing,Unknown,1,Safe,Toxic
هذا العام سيقلب عاشوراء الى حفل شواء سترون ما يسوكم يا ابناء المتعة والزنا,0,Fraiwan,Unknown,1,Safe,Toxic
نسيبورتي مولودية او يدك في عضو ذكري قود,0,DziriOFN,Unknown,1,Safe,Toxic
العرب معروف عليهم انهم بكثرة كلامهم يبنون قصورا عذرا,1,ArCybC,Unknown,0,Toxic,Safe
انت حتي في عين امك قرد,0,Arabic_Superset|OSACT5,MSA + mixed dialects|Multi-dialect,1,Safe,Toxic
يااع شو مقرفه,0,NUHA,Unknown,1,Safe,Toxic
عام كله قتل وخراب بيوت وكذب ونفاق,0,Arabic_Superset,Multi-dialect,1,Safe,Toxic
